date,temperature,precipitation,humidity,solar_radiation
2024-01-01,20.76,0.0,73.7,14.89
2024-01-02,20.86,0.0,71.95,14.75
2024-01-03,21.04,0.0,73.01,14.88
2024-01-04,21.58,0.0,70.15,14.73
2024-01-05,20.98,0.0,67.38,15.11
2024-01-06,20.81,0.0,66.03,16.73
2024-01-07,21.07,0.0,66.54,15.58
2024-01-08,21.27,0.0,60.04,16.56
2024-01-09,22.06,0.0,61.73,11.05
2024-01-10,22.39,0.0,61.5,9.71
2024-01-11,23.53,0.0,49.36,15.96
2024-01-12,23.27,0.0,56.3,16.26
2024-01-13,23.34,0.0,58.76,14.62
2024-01-14,23.25,0.0,51.76,16.96
2024-01-15,23.34,0.0,53.3,15.28
2024-01-16,23.17,0.0,66.7,15.46
2024-01-17,23.38,0.0,64.13,15.03
2024-01-18,23.25,0.0,62.22,14.92
2024-01-19,23.68,0.0,57.96,15.88
2024-01-20,23.68,0.0,61.46,16.03
2024-01-21,24.39,0.0,61.52,15.4
2024-01-22,25.0,0.0,59.56,16.21
2024-01-23,24.61,0.0,64.1,16.48
2024-01-24,24.61,0.0,62.71,14.21
2024-01-25,22.39,0.0,52.5,14.93
2024-01-26,22.19,0.0,49.62,15.07
2024-01-27,22.22,0.0,40.39,14.75
2024-01-28,21.64,0.0,40.91,18.8
2024-01-29,22.91,0.0,57.59,15.56
2024-01-30,22.82,0.0,51.72,17.52
2024-01-31,23.17,0.0,51.89,18.24
2024-02-01,24.36,0.0,56.43,18.59
2024-02-02,24.93,0.0,47.55,16.68
2024-02-03,24.97,0.0,48.72,16.45
2024-02-04,24.74,0.0,42.35,19.24
2024-02-05,25.58,0.0,54.22,18.44
2024-02-06,26.54,0.0,50.84,18.72
2024-02-07,27.73,0.0,42.93,18.14
2024-02-08,26.41,0.0,36.66,18.04
2024-02-09,25.29,0.0,37.39,19.43
2024-02-10,26.04,0.0,57.36,17.31
2024-02-11,26.17,0.0,57.25,18.09
2024-02-12,25.31,0.0,52.92,20.28
2024-02-13,24.82,0.0,48.77,20.9
2024-02-14,25.64,0.0,48.2,19.6
2024-02-15,25.38,0.0,42.97,20.79
2024-02-16,24.74,0.0,35.44,23.22
2024-02-17,24.82,0.0,34.61,23.26
2024-02-18,25.16,0.0,32.8,22.8
2024-02-19,25.88,0.0,43.67,21.63
2024-02-20,27.01,0.0,41.62,20.64
2024-02-21,27.65,0.0,32.59,20.93
2024-02-22,27.42,0.0,28.08,22.33
2024-02-23,26.04,0.0,40.76,21.9
2024-02-24,27.45,0.0,52.31,16.06
2024-02-25,27.22,0.0,59.11,16.59
2024-02-26,26.8,0.0,54.99,19.32
2024-02-27,26.24,0.0,48.4,23.15
2024-02-28,26.92,0.0,47.65,22.68
2024-02-29,27.48,0.0,43.42,20.61
2024-03-01,28.36,0.0,40.27,21.8
2024-03-02,28.93,0.0,40.03,22.05
2024-03-03,28.74,0.0,40.04,21.44
2024-03-04,29.15,0.0,36.87,19.9
2024-03-05,29.78,0.0,33.05,22.41
2024-03-06,30.22,0.0,33.98,21.13
2024-03-07,30.39,0.0,29.76,21.49
2024-03-08,29.66,0.0,27.61,21.85
2024-03-09,28.88,0.0,29.37,20.34
2024-03-10,28.96,0.0,46.13,20.79
2024-03-11,29.12,0.0,45.44,18.97
2024-03-12,30.92,0.0,40.29,19.86
2024-03-13,31.75,0.0,31.91,17.2
2024-03-14,30.83,0.0,33.05,19.6
2024-03-15,30.41,0.52,39.4,17.13
2024-03-16,29.85,2.07,45.11,18.31
2024-03-17,29.14,1.45,50.77,17.19
2024-03-18,29.31,0.42,44.39,18.24
2024-03-19,28.68,0.03,41.37,15.2
2024-03-20,28.33,0.03,44.24,20.43
2024-03-21,27.89,0.01,47.18,25.01
2024-03-22,28.99,0.0,44.25,24.64
2024-03-23,30.5,0.0,38.47,22.94
2024-03-24,30.44,0.0,38.34,21.79
2024-03-25,31.01,0.0,36.57,17.5
2024-03-26,31.28,0.0,35.44,23.27
2024-03-27,31.0,0.0,32.74,23.48
2024-03-28,31.47,0.0,31.39,24.05
2024-03-29,32.67,0.0,32.0,22.38
2024-03-30,32.53,0.0,32.45,23.21
2024-03-31,31.9,0.0,29.44,23.79
2024-04-01,32.76,0.0,29.65,23.5
2024-04-02,33.4,0.0,26.68,22.35
2024-04-03,32.87,0.0,30.85,18.91
2024-04-04,33.65,0.0,32.23,22.6
2024-04-05,34.56,0.0,25.02,23.18
2024-04-06,34.81,0.0,25.14,21.45
2024-04-07,34.56,0.0,27.68,20.76
2024-04-08,32.27,0.0,37.0,21.86
2024-04-09,30.41,0.07,49.96,22.44
2024-04-10,31.2,0.0,40.99,23.31
2024-04-11,31.27,0.03,38.7,20.71
2024-04-12,30.73,0.96,44.32,19.53
2024-04-13,31.25,0.43,40.59,13.87
2024-04-14,31.93,0.0,37.66,23.44
2024-04-15,32.82,0.0,33.26,24.5
2024-04-16,34.03,0.0,29.97,24.62
2024-04-17,35.07,0.0,27.49,19.11
2024-04-18,35.57,0.0,28.64,20.84
2024-04-19,34.95,0.01,31.52,17.8
2024-04-20,33.06,0.62,39.34,11.51
2024-04-21,34.17,0.07,37.15,19.53
2024-04-22,34.59,0.8,30.12,22.9
2024-04-23,33.6,0.22,29.78,25.74
2024-04-24,33.17,0.01,29.23,25.56
2024-04-25,33.92,0.0,27.93,25.92
2024-04-26,34.66,0.0,28.04,25.77
2024-04-27,34.61,0.0,31.39,23.98
2024-04-28,35.5,0.0,26.89,23.03
2024-04-29,35.12,0.0,30.14,23.9
2024-04-30,36.15,0.0,24.62,24.82
2024-05-01,36.11,0.0,21.49,25.04
2024-05-02,35.17,0.0,16.83,26.86
2024-05-03,34.59,0.0,15.14,27.62
2024-05-04,34.61,0.01,35.74,25.05
2024-05-05,35.49,0.18,33.07,23.94
2024-05-06,35.62,3.08,39.6,24.69
2024-05-07,34.28,18.59,43.58,21.68
2024-05-08,29.6,7.9,58.5,24.91
2024-05-09,30.78,0.25,55.28,20.83
2024-05-10,30.69,1.49,57.62,20.67
2024-05-11,31.18,0.34,56.39,24.74
2024-05-12,30.28,9.47,60.84,22.17
2024-05-13,29.82,1.04,60.08,21.43
2024-05-14,30.04,3.47,59.96,23.52
2024-05-15,29.99,0.44,60.29,19.86
2024-05-16,27.74,27.66,75.88,16.39
2024-05-17,27.63,1.23,72.06,17.75
2024-05-18,28.66,0.81,67.67,16.74
2024-05-19,28.98,1.38,68.46,17.88
2024-05-20,30.27,2.79,63.76,21.84
2024-05-21,31.44,0.44,59.35,24.65
2024-05-22,31.68,0.46,58.42,25.15
2024-05-23,31.37,2.31,60.22,21.96
2024-05-24,32.29,1.4,54.05,22.49
2024-05-25,32.04,0.41,53.56,19.15
2024-05-26,33.72,1.35,46.78,19.6
2024-05-27,34.13,1.44,43.28,18.66
2024-05-28,31.94,0.0,45.38,23.59
2024-05-29,33.33,0.0,44.42,25.63
2024-05-30,34.37,0.0,43.3,25.11
2024-05-31,34.6,0.0,40.8,25.08
2024-06-01,32.9,0.0,46.8,19.35
2024-06-02,31.47,16.4,57.61,19.53
2024-06-03,28.59,4.16,68.08,12.43
2024-06-04,30.37,2.3,61.72,18.1
2024-06-05,29.46,5.11,67.71,20.15
2024-06-06,28.89,12.33,69.67,19.73
2024-06-07,28.5,3.34,71.31,17.6
2024-06-08,27.87,4.24,71.54,17.46
2024-06-09,27.25,0.73,73.37,16.0
2024-06-10,27.99,1.13,73.85,16.43
2024-06-11,29.04,1.91,68.97,16.03
2024-06-12,27.71,2.27,72.85,18.91
2024-06-13,27.48,4.38,73.2,20.18
2024-06-14,27.97,0.41,69.48,18.68
2024-06-15,27.39,0.1,68.08,22.36
2024-06-16,28.29,6.95,71.96,22.26
2024-06-17,28.29,4.6,72.02,19.34
2024-06-18,28.13,5.88,71.79,21.81
2024-06-19,25.83,1.64,77.79,18.49
2024-06-20,28.39,0.49,65.85,21.83
2024-06-21,28.17,1.52,67.98,15.77
2024-06-22,27.1,6.54,75.06,16.79
2024-06-23,27.53,4.5,73.26,15.43
2024-06-24,29.01,1.59,68.08,20.69
2024-06-25,28.48,2.33,68.78,19.09
2024-06-26,25.99,1.93,73.92,21.53
2024-06-27,25.39,4.13,71.54,14.02
2024-06-28,26.66,4.87,68.49,15.36
2024-06-29,27.22,5.95,71.77,14.02
2024-06-30,27.82,6.45,71.65,12.01
2024-07-01,27.5,2.05,71.5,12.72
2024-07-02,27.77,4.31,66.71,18.51
2024-07-03,27.74,1.71,72.9,18.22
2024-07-04,27.67,0.77,71.88,19.0
2024-07-05,26.41,5.48,75.51,18.54
2024-07-06,25.95,9.15,78.57,14.9
2024-07-07,25.98,2.84,78.1,18.6
2024-07-08,25.64,5.3,82.87,12.96
2024-07-09,26.06,1.14,77.6,12.45
2024-07-10,26.59,1.15,74.19,19.9
2024-07-11,28.11,1.9,66.58,21.42
2024-07-12,26.12,4.53,75.11,17.11
2024-07-13,25.82,3.53,78.49,14.25
2024-07-14,25.76,21.03,81.83,10.17
2024-07-15,25.5,11.44,84.97,9.05
2024-07-16,26.53,4.22,74.91,14.21
2024-07-17,26.11,1.66,75.05,14.46
2024-07-18,25.38,8.91,83.38,11.47
2024-07-19,24.99,19.44,82.69,12.05
2024-07-20,24.27,22.63,88.11,4.89
2024-07-21,26.12,5.61,81.03,4.05
2024-07-22,25.71,5.07,81.07,13.31
2024-07-23,25.33,1.98,81.7,9.82
2024-07-24,25.54,3.79,82.03,6.78
2024-07-25,25.35,7.12,83.21,5.83
2024-07-26,25.08,3.33,80.76,14.72
2024-07-27,25.35,3.69,82.37,9.29
2024-07-28,25.59,0.92,79.63,14.64
2024-07-29,26.82,2.27,78.68,14.63
2024-07-30,27.18,1.97,77.54,17.81
2024-07-31,26.94,1.8,80.37,19.33
2024-08-01,26.29,3.26,83.06,12.95
2024-08-02,25.52,4.45,83.88,13.58
2024-08-03,26.45,1.46,78.52,15.54
2024-08-04,25.81,0.26,80.65,15.53
2024-08-05,26.33,3.99,79.47,19.39
2024-08-06,25.25,14.89,86.38,9.77
2024-08-07,24.89,12.64,86.99,7.45
2024-08-08,26.03,2.34,80.57,11.1
2024-08-09,26.35,1.65,80.11,19.03
2024-08-10,26.73,2.32,79.41,21.17
2024-08-11,26.84,8.8,81.22,19.23
2024-08-12,26.9,1.16,81.44,18.84
2024-08-13,27.22,0.96,81.15,18.55
2024-08-14,27.22,0.01,82.15,16.17
2024-08-15,26.44,16.86,87.89,18.54
2024-08-16,26.72,23.0,85.05,17.04
2024-08-17,26.32,12.85,86.83,19.09
2024-08-18,26.03,12.75,87.72,18.47
2024-08-19,26.54,33.06,83.03,13.12
2024-08-20,26.35,8.7,84.25,16.61
2024-08-21,26.77,7.2,83.67,20.44
2024-08-22,26.27,5.08,85.82,17.92
2024-08-23,25.24,3.54,85.71,16.54
2024-08-24,25.42,5.55,87.42,11.08
2024-08-25,25.74,5.1,82.72,14.96
2024-08-26,25.72,0.2,80.45,19.38
2024-08-27,25.87,1.34,82.12,17.01
2024-08-28,25.61,0.11,82.6,16.93
2024-08-29,25.47,1.95,83.66,19.1
2024-08-30,24.69,8.54,88.69,13.02
2024-08-31,24.56,36.29,91.11,3.63
2024-09-01,25.04,41.88,92.95,2.54
2024-09-02,24.65,21.18,86.89,5.29
2024-09-03,23.98,10.44,85.22,11.0
2024-09-04,25.1,17.16,89.57,10.0
2024-09-05,25.64,9.95,87.16,17.51
2024-09-06,25.83,6.57,86.79,17.59
2024-09-07,24.75,11.27,90.48,15.06
2024-09-08,24.28,4.41,90.99,9.71
2024-09-09,24.03,1.74,90.09,7.0
2024-09-10,25.19,0.59,85.59,15.99
2024-09-11,25.38,0.02,82.8,19.33
2024-09-12,25.17,0.1,82.54,17.8
2024-09-13,24.78,0.01,82.17,21.57
2024-09-14,24.78,0.0,83.44,22.03
2024-09-15,24.6,0.0,82.0,21.88
2024-09-16,24.23,0.02,83.77,15.29
2024-09-17,24.7,0.01,83.12,20.71
2024-09-18,24.59,0.0,80.16,23.26
2024-09-19,25.07,0.09,78.75,21.42
2024-09-20,25.39,6.69,82.27,16.56
2024-09-21,24.98,32.96,90.27,13.07
2024-09-22,25.53,6.24,86.21,18.63
2024-09-23,25.32,10.2,89.9,17.28
2024-09-24,25.94,13.53,88.79,14.87
2024-09-25,25.79,19.57,88.36,12.99
2024-09-26,24.87,4.68,87.75,12.95
2024-09-27,24.6,0.07,87.96,18.54
2024-09-28,25.64,0.0,82.95,20.4
2024-09-29,25.8,0.33,82.72,19.52
2024-09-30,26.18,0.2,84.5,18.28
2024-10-01,26.74,4.24,81.76,20.56
2024-10-02,26.65,0.95,85.29,19.77
2024-10-03,25.95,0.83,86.69,16.8
2024-10-04,26.04,1.12,85.4,18.14
2024-10-05,26.21,0.67,82.93,13.9
2024-10-06,25.25,0.72,86.87,16.29
2024-10-07,24.69,0.13,86.19,16.96
2024-10-08,24.89,0.16,85.67,20.3
2024-10-09,25.08,1.03,88.0,19.56
2024-10-10,24.82,2.12,89.11,16.85
2024-10-11,24.98,2.1,89.3,14.25
2024-10-12,25.02,0.69,89.4,17.18
2024-10-13,25.23,0.5,87.39,20.12
2024-10-14,24.61,1.72,88.63,16.07
2024-10-15,24.71,2.36,87.51,15.23
2024-10-16,25.06,7.03,86.55,15.43
2024-10-17,25.26,3.68,89.85,15.42
2024-10-18,25.26,0.41,90.39,16.95
2024-10-19,24.78,2.26,91.01,18.87
2024-10-20,24.56,1.22,88.55,16.12
2024-10-21,24.64,6.9,87.06,18.63
2024-10-22,24.79,7.5,87.38,15.26
2024-10-23,23.84,0.29,85.06,18.31
2024-10-24,23.12,0.0,84.01,17.01
2024-10-25,23.27,0.0,81.78,18.15
2024-10-26,23.8,0.0,83.64,19.84
2024-10-27,23.0,0.0,81.6,20.46
2024-10-28,24.22,0.0,76.62,17.53
2024-10-29,25.4,0.0,74.37,17.56
2024-10-30,24.19,9.95,90.26,12.23
2024-10-31,24.37,3.44,87.8,13.71
2024-11-01,23.92,1.34,86.59,12.62
2024-11-02,23.62,5.81,87.15,15.12
2024-11-03,22.64,0.83,84.94,16.08
2024-11-04,22.62,0.0,82.32,17.1
2024-11-05,21.93,0.0,73.7,18.87
2024-11-06,22.12,0.0,77.8,19.19
2024-11-07,21.63,0.0,78.89,18.82
2024-11-08,22.44,0.0,77.01,18.31
2024-11-09,22.56,0.0,79.31,17.08
2024-11-10,21.93,0.0,82.08,18.79
2024-11-11,20.89,0.0,80.32,17.53
2024-11-12,21.68,0.0,83.17,17.87
2024-11-13,22.75,0.03,86.34,15.21
2024-11-14,23.18,0.02,85.37,12.83
2024-11-15,23.11,0.0,83.35,16.63
2024-11-16,21.42,0.0,77.3,18.1
2024-11-17,19.58,0.0,74.86,17.94
2024-11-18,19.0,0.0,75.57,17.75
2024-11-19,19.11,0.0,75.46,17.9
2024-11-20,18.89,0.0,79.04,17.92
2024-11-21,19.25,0.0,75.24,17.38
2024-11-22,19.2,0.0,77.35,16.21
2024-11-23,19.66,0.0,75.28,15.08
2024-11-24,19.16,0.0,76.46,15.16
2024-11-25,19.11,0.0,78.84,16.03
2024-11-26,19.38,0.0,77.64,16.76
2024-11-27,18.96,0.0,73.25,15.33
2024-11-28,18.37,0.0,71.04,17.2
2024-11-29,20.8,0.0,77.49,16.05
2024-11-30,22.52,0.0,84.62,11.29
2024-12-01,23.01,1.52,86.69,9.69
2024-12-02,23.37,1.42,87.35,10.05
2024-12-03,23.99,0.48,84.88,8.08
2024-12-04,24.41,0.02,84.75,10.95
2024-12-05,24.65,0.0,84.23,12.38
2024-12-06,23.79,0.07,86.59,12.08
2024-12-07,24.29,0.94,81.07,10.09
2024-12-08,23.74,1.11,84.62,10.19
2024-12-09,23.57,0.4,85.48,9.91
2024-12-10,21.51,0.0,64.62,14.99
2024-12-11,19.47,0.0,65.57,17.01
2024-12-12,20.27,0.0,63.29,17.06
2024-12-13,19.98,0.0,60.99,15.0
2024-12-14,18.97,0.0,64.73,16.0
2024-12-15,17.37,0.0,59.46,17.26
2024-12-16,17.31,0.0,54.74,18.02
2024-12-17,19.35,0.0,51.2,17.74
2024-12-18,20.29,0.01,55.86,17.39
2024-12-19,20.84,2.33,75.36,15.01
2024-12-20,23.37,1.04,81.62,10.97
2024-12-21,23.03,0.05,70.89,12.77
2024-12-22,21.29,0.04,69.21,14.9
2024-12-23,20.78,0.0,63.29,16.21
2024-12-24,20.94,0.6,74.17,11.75
2024-12-25,20.93,0.72,84.16,8.13
2024-12-26,22.18,1.14,81.72,6.99
2024-12-27,22.69,0.08,75.91,11.16
2024-12-28,22.19,0.0,75.97,16.74
2024-12-29,22.42,0.0,71.01,18.05
2024-12-30,22.04,0.0,62.7,17.03
2024-12-31,21.66,0.0,68.1,15.16
